model,top1_S02,top5_S02,mean_target_confidence,mean_entropy,test_acc_holdout,epochs_trained
v1,0.8002806361085126,0.9541627689429373,0.7656904458999634,0.2257527858018875,0.9895652173913043,60
v2,0.8366074212659806,0.983785469285937,0.8127740025520325,0.27139225602149963,0.9904347826086957,48
v3,0.8420642344870596,0.9842531961334581,0.8211531043052673,0.22714921832084656,0.9934782608695653,66
v4,0.9181478016838166,0.993140006236358,0.9034611582756042,0.13359786570072174,0.9933333333333333,116
