epoch,accuracy,loss,lr,top5,val_accuracy,val_loss,val_top5
0,0.47544968128204346,2.244964122772217,0.001,0.8474104404449463,0.8207303285598755,0.7856395244598389,0.9970490336418152
1,0.7406874299049377,1.092202067375183,0.001,0.9893300533294678,0.8884790539741516,0.5449208617210388,0.9979097247123718
2,0.798758327960968,0.879372775554657,0.001,0.9933903217315674,0.9124554395675659,0.42101341485977173,0.9979097247123718
3,0.8269675374031067,0.789106011390686,0.001,0.9945234060287476,0.9023730754852295,0.45111793279647827,0.9980326890945435
4,0.8520135879516602,0.7038099765777588,0.001,0.9949483275413513,0.9254887700080872,0.36550402641296387,0.997786819934845
5,0.8605353832244873,0.6631228923797607,0.001,0.9958689212799072,0.9371695518493652,0.36969441175460815,0.9980326890945435
6,0.8718898892402649,0.61778724193573,0.001,0.995774507522583,0.9568424820899963,0.28722694516181946,0.9981556534767151
7,0.8811907172203064,0.5948572158813477,0.001,0.9961286187171936,0.9580720663070679,0.29325228929519653,0.9981556534767151
8,0.8882017135620117,0.5558797717094421,0.001,0.9967423677444458,0.9552440643310547,0.2847461998462677,0.9981556534767151
9,0.8929228782653809,0.5375985503196716,0.001,0.9967187643051147,0.9438091516494751,0.29637831449508667,0.9981556534767151
10,0.8970067501068115,0.5279121398925781,0.001,0.9973325133323669,0.9634820818901062,0.23718996345996857,0.9981556534767151
11,0.899957537651062,0.5094411969184875,0.001,0.9971908926963806,0.9611459374427795,0.24985848367214203,0.9981556534767151
12,0.9036636352539062,0.4959157407283783,0.001,0.9973089098930359,0.9681544303894043,0.2675347924232483,0.9981556534767151
13,0.9064019918441772,0.48765435814857483,0.001,0.9970964789390564,0.9661871194839478,0.23083551228046417,0.9980326890945435
14,0.9094235301017761,0.46585842967033386,0.001,0.9975685477256775,0.9717201590538025,0.22521105408668518,0.9981556534767151
15,0.9115716814994812,0.46528109908103943,0.001,0.9975213408470154,0.9677855372428894,0.21309351921081543,0.9981556534767151
16,0.913058876991272,0.4616726040840149,0.001,0.9974505305290222,0.9607771039009094,0.2604270577430725,0.9981556534767151
17,0.9145696759223938,0.4453488290309906,0.001,0.9974269270896912,0.9652034640312195,0.22601832449436188,0.9981556534767151
18,0.9160568714141846,0.44084814190864563,0.001,0.9974977374076843,0.9709824323654175,0.20379768311977386,0.9982786178588867
19,0.9158915877342224,0.44058072566986084,0.001,0.997379720211029,0.9707365036010742,0.20009733736515045,0.9981556534767151
20,0.9185118675231934,0.42668041586875916,0.001,0.9976630210876465,0.9745481610298157,0.1982375979423523,0.9981556534767151
21,0.918889582157135,0.4293766915798187,0.001,0.9977574348449707,0.9701217412948608,0.20677894353866577,0.9982786178588867
22,0.9217222929000854,0.42210856080055237,0.001,0.9974977374076843,0.9745481610298157,0.23764671385288239,0.9980326890945435
23,0.9254520535469055,0.40470317006111145,0.001,0.997899055480957,0.9690151214599609,0.20551081001758575,0.9981556534767151
24,0.9222888350486755,0.4119569957256317,0.001,0.9978282451629639,0.9740563035011292,0.17586402595043182,0.9981556534767151
25,0.9229025840759277,0.40409788489341736,0.001,0.9975685477256775,0.9772531390190125,0.22010409832000732,0.9982786178588867
26,0.925216019153595,0.40472841262817383,0.001,0.9978518486022949,0.9731956124305725,0.19114667177200317,0.9982786178588867
27,0.9263255000114441,0.39045384526252747,0.001,0.9980170726776123,0.9738103747367859,0.1979067027568817,0.9982786178588867
28,0.9276710152626038,0.3836967945098877,0.001,0.9983003735542297,0.9800811409950256,0.2153538018465042,0.9982786178588867
29,0.9266559481620789,0.3934788107872009,0.001,0.997875452041626,0.9687691926956177,0.2415725141763687,0.9980326890945435
30,0.9295123219490051,0.3866424560546875,0.001,0.9978046417236328,0.9771302342414856,0.23303698003292084,0.9984015822410583
31,0.9297247529029846,0.376191645860672,0.001,0.9982767701148987,0.9669248461723328,0.24173125624656677,0.9981556534767151
32,0.9302204847335815,0.37514832615852356,0.001,0.9981587529182434,0.9808188676834106,0.19275996088981628,0.9982786178588867
33,0.9295359253883362,0.38511747121810913,0.001,0.9980406761169434,0.9788516163825989,0.2029716670513153,0.9981556534767151
34,0.9309758543968201,0.3662075400352478,0.001,0.9981587529182434,0.979220449924469,0.18421825766563416,0.9982786178588867
35,0.9301260709762573,0.3826523721218109,0.001,0.9979934692382812,0.9760236144065857,0.199398472905159,0.9982786178588867
36,0.9328407645225525,0.36937233805656433,0.001,0.997899055480957,0.9815565943717957,0.1880251169204712,0.9984015822410583
37,0.9293942451477051,0.375238299369812,0.001,0.9980170726776123,0.9772531390190125,0.20684240758419037,0.9982786178588867
38,0.9326755404472351,0.36646783351898193,0.001,0.9984892010688782,0.9794663786888123,0.19021637737751007,0.9981556534767151
39,0.9340210556983948,0.3551342487335205,0.001,0.998394787311554,0.9808188676834106,0.20246125757694244,0.9982786178588867
40,0.932533860206604,0.36143726110458374,0.001,0.9976158142089844,0.979220449924469,0.18263044953346252,0.9980326890945435
41,0.9343987703323364,0.3581770062446594,0.001,0.9983003735542297,0.9684003591537476,0.18977826833724976,0.9981556534767151
42,0.9349889159202576,0.350720077753067,0.001,0.9980878829956055,0.9771302342414856,0.20855151116847992,0.9981556534767151
43,0.9350125193595886,0.3509006202220917,0.001,0.9984419941902161,0.978482723236084,0.18944330513477325,0.9981556534767151
44,0.9364525079727173,0.34316298365592957,0.0005,0.9981114864349365,0.9788516163825989,0.19490739703178406,0.9982786178588867
45,0.9401822090148926,0.3296608328819275,0.0005,0.9984655976295471,0.9804500341415405,0.19342228770256042,0.9984015822410583
46,0.9391672015190125,0.33173152804374695,0.0005,0.9983475804328918,0.9827861785888672,0.15759652853012085,0.9982786178588867
47,0.9391908049583435,0.3269502520561218,0.0005,0.9985128045082092,0.9809418320655823,0.19407887756824493,0.9982786178588867
48,0.9399697780609131,0.32647547125816345,0.0005,0.9983003735542297,0.9772531390190125,0.17928822338581085,0.9982786178588867
49,0.9416930079460144,0.31750917434692383,0.0005,0.9984655976295471,0.9824172854423523,0.16806632280349731,0.9980326890945435
50,0.9433690309524536,0.31400346755981445,0.0005,0.9985128045082092,0.9843845963478088,0.17306916415691376,0.9984015822410583
51,0.9436051249504089,0.30918601155281067,0.0005,0.9985600113868713,0.9746710658073425,0.18679605424404144,0.9984015822410583
52,0.9423304200172424,0.3186708986759186,0.0005,0.9987725019454956,0.9820484519004822,0.17988117039203644,0.9984015822410583
53,0.9436759352684021,0.3114653527736664,0.0005,0.9984655976295471,0.9779909253120422,0.18384981155395508,0.9981556534767151
54,0.9429677724838257,0.31341201066970825,0.0005,0.9984655976295471,0.9840157628059387,0.16616995632648468,0.9982786178588867
55,0.9435343146324158,0.3046107292175293,0.0005,0.9985836148262024,0.9835239052772522,0.18336468935012817,0.9982786178588867
56,0.9428260922431946,0.3120374381542206,0.0005,0.9981823563575745,0.9781138300895691,0.16001422703266144,0.9981556534767151
57,0.9434871077537537,0.30479544401168823,0.0005,0.9986544251441956,0.9805729985237122,0.18825526535511017,0.9981556534767151
58,0.9457060694694519,0.29373863339424133,0.00025,0.9985836148262024,0.9835239052772522,0.1892087310552597,0.9981556534767151
59,0.9460837841033936,0.28698134422302246,0.00025,0.9986780881881714,0.9827861785888672,0.1795799881219864,0.9981556534767151
60,0.9447618126869202,0.3021821677684784,0.00025,0.9984892010688782,0.9818025231361389,0.17098873853683472,0.9982786178588867
61,0.9455171823501587,0.29698294401168823,0.00025,0.9986544251441956,0.9830321073532104,0.18467894196510315,0.9982786178588867
62,0.9472404718399048,0.29162344336509705,0.00025,0.9987725019454956,0.9832779765129089,0.2074195295572281,0.9981556534767151
63,0.9463906288146973,0.2898642420768738,0.00025,0.9986544251441956,0.9821714162826538,0.18591433763504028,0.9982786178588867
64,0.9481846690177917,0.28488069772720337,0.00025,0.9983003735542297,0.9825402498245239,0.21479052305221558,0.9982786178588867
65,0.9485623836517334,0.28303664922714233,0.000125,0.9986780881881714,0.9811877608299255,0.17542369663715363,0.9984015822410583
